,Quarter,Type,Decision_or_Reminder,Decision_Score,Decision_Time,Game,Good
1,1,Structural,Decision,-1,78.91666667,1,0
2,1,Structural,Reminder,-2,74.78333333,1,1
3,1,Structural,Decision,-2,72.01666667,1,1
4,1,Structural,Reminder,-2,72.01666667,1,0
5,1,Structural,Reminder,-3,68.03333333,1,1
6,1,Structural,Reminder,-3,67.05,1,1
7,1,Structural,Decision,-3,66.58333333,1,0
8,1,Structural,Reminder,-9,64.51666667,1,1
9,1,Personnel,Reminder,-9,63.03333333,1,1
10,1,Personnel,Decision,-9,60.23333333,1,0
11,2,Personnel,Reminder,-15,58.01666667,1,1
12,2,Personnel,Decision,-15,56.98333333,1,1
13,2,Structural,Reminder,-15,54.01666667,1,0
14,2,Structural,Reminder,-22,53.01666667,1,0
15,2,Structural,Reminder,-29,48.01666667,1,0
16,3,Structural,Reminder,-34,38.01666667,1,1
17,3,Structural,Reminder,-34,37.41666667,1,1
18,3,Personnel,Decision,-34,36.46666667,1,0
19,3,Personnel,Decision,-35,32.03333333,1,1
20,3,Personnel,Reminder,-35,31.01666667,1,1
21,3,Structural,Reminder,-27,29.2,1,1
22,3,Structural,Reminder,-27,29.2,1,1
23,3,Structural,Reminder,-27,28.08333333,1,1
24,3,Structural,Reminder,-13,27.01666667,1,1
25,3,Structural,Reminder,-5,23.01666667,1,1
26,4,Personnel,Reminder,-5,15.01666667,1,1
27,4,Personnel,Reminder,-5,15.01666667,1,0
28,4,Personnel,Reminder,-17,13.01666667,1,1
29,4,Structural,Reminder,-17,12.01666667,1,1
30,4,Structural,Reminder,-17,12.01666667,1,1
31,4,Style,Decision,-16,11.06666667,1,1
32,4,Structural,Reminder,-16,10.01666667,1,1
33,4,Structural,Decision,-16,8.016666667,1,1
34,4,Style,Decision,-11,4.2,1,1
35,4,Structural,Reminder,-11,2.016666667,1,0
36,1,Structural,Reminder,1,77.58333333,2,1
37,1,Style,Reminder,1,76.75,2,1
38,1,Structural,Reminder,1,75,2,1
39,1,Structural,Reminder,1,74.08333333,2,1
40,1,Style,Reminder,2,72.83333333,2,1
41,1,Personnel,Decision,2,70.16666667,2,1
42,1,Style,Reminder,2,70.08333333,2,0
43,1,Personnel,Reminder,-4,68.91666667,2,1
44,1,Style,Reminder,-4,68.66666667,2,1
45,1,Structural,Decision,-3,67.75,2,0
46,1,Style,Reminder,-9,66.33333333,2,0
47,1,Structural,Reminder,-15,63.33333333,2,1
48,1,Style,Reminder,-15,63.25,2,1
49,1,Structural,Reminder,-14,62.66666667,2,1
50,2,Structural,Decision,-14,58.66666667,2,0
51,2,Style,Reminder,-15,56.25,2,1
52,2,Style,Reminder,-2,53.08333333,2,1
53,2,Style,Reminder,-2,52,2,1
54,2,Personnel,Reminder,-1,51.33333333,2,0
55,2,Structural,Decision,-7,48.91666667,2,0
56,2,Style,Reminder,-13,45.75,2,1
57,2,Style,Reminder,-13,42.91666667,2,1
58,3,Structural,Reminder,-6,38.75,2,0
59,3,Personnel,Decision,-7,37.16666667,2,1
60,3,Style,Reminder,-7,33.5,2,0
61,3,Structural,Reminder,-13,33.25,2,1
62,3,Style,Reminder,-1,31.41666667,2,1
63,3,Structural,Reminder,5,30.41666667,2,1
64,3,Personnel,Reminder,5,30.16666667,2,1
65,3,Personnel,Reminder,5,28.66666667,2,1
66,3,Style,Reminder,10,27.25,2,1
67,3,Style,Reminder,10,25.75,2,1
68,3,Style,Reminder,10,25.66666667,2,1
69,3,Personnel,Decision,16,24.83333333,2,0
70,3,Style,Reminder,15,23.08333333,2,1
71,3,Structural,Decision,16,22.16666667,2,0
72,4,Structural,Reminder,15,18,2,1
73,4,Style,Decision,18,15.83333333,2,1
74,4,Structural,Reminder,18,14.58333333,2,0
75,4,Structural,Reminder,17,14.08333333,2,1
76,4,Style,Reminder,17,12.5,2,0
77,4,Personnel,Decision,16,10.25,2,1
78,4,Style,Reminder,16,9.75,2,1
79,4,Style,Reminder,16,9.333333333,2,1
80,4,Structural,Decision,16,7.583333333,2,1
81,4,Structural,Decision,16,6.583333333,2,0
82,4,Personnel,Decision,10,6.083333333,2,1
83,4,Structural,Decision,10,5,2,1
84,4,Structural,Reminder,16,4,2,0
85,4,Structural,Decision,10,2.25,2,1
86,1,Style,Reminder,-6,79.66666667,3,0
87,1,Structural,Reminder,-12,79.41666667,3,1
88,1,Structural,Decision,-6,76.75,3,1
89,1,Structural,Reminder,0,75.33333333,3,1
90,1,Personnel,Decision,0,75.33333333,3,1
91,1,Structural,Reminder,2,73,3,1
92,1,Structural,Reminder,2,72.58333333,3,1
93,1,Style,Reminder,2,72.33333333,3,1
94,1,Structural,Decision,8,71.25,3,1
95,1,Personnel,Reminder,8,71.25,3,0
96,1,Personnel,Reminder,2,69.16666667,3,1
97,1,Structural,Decision,7,68.33333333,3,1
98,1,Style,Reminder,7,68.33333333,3,0
99,1,Personnel,Reminder,-1,65.25,3,1
100,2,Personnel,Decision,4,58.66666667,3,1
101,2,Personnel,Decision,5,57,3,0
102,2,Style,Decision,-8,52.41666667,3,1
103,2,Personnel,Reminder,-8,50.75,3,0
104,2,Style,Reminder,-14,48.66666667,3,1
105,2,Structural,Decision,-14,48.25,3,1
106,2,Personnel,Reminder,-14,48,3,1
107,2,Style,Reminder,-8,47,3,1
108,2,Structural,Decision,-8,46.83333333,3,0
109,2,Structural,Reminder,-14,45.5,3,1
110,3,Structural,Reminder,-13,39,3,0
111,3,Style,Reminder,-14,36.33333333,3,1
112,3,Structural,Reminder,-14,35.5,3,1
113,3,Structural,Decision,-14,35,3,0
114,3,Structural,Reminder,-20,34.58333333,3,1
115,3,Style,Reminder,-20,34.25,3,1
116,3,Structural,Reminder,-20,34.16666667,3,1
117,3,Personnel,Decision,-20,33.91666667,3,1
118,3,Structural,Decision,-19,32.33333333,3,0
119,3,Style,Reminder,-25,31.75,3,1
120,3,Style,Reminder,-19,29.58333333,3,1
121,3,Personnel,Reminder,-18,28.41666667,3,1
122,3,Style,Reminder,-17,27.91666667,3,1
123,3,Structural,Decision,-4,22,3,1
124,3,Structural,Decision,-4,21.08333333,3,1
125,4,Structural,Reminder,2,19,3,1
126,4,Style,Reminder,8,16.83333333,3,1
127,4,Personnel,Reminder,14,14.66666667,3,1
128,4,Structural,Reminder,14,14.58333333,3,1
129,4,Personnel,Reminder,14,14.58333333,3,1
130,4,Structural,Reminder,14,13.33333333,3,1
131,4,Structural,Reminder,14,12.5,3,1
132,4,Style,Reminder,15,10.41666667,3,1
133,4,Style,Reminder,15,9.916666667,3,1
134,4,Personnel,Decision,21,9.333333333,3,1
135,4,Personnel,Reminder,21,9.25,3,1
136,4,Personnel,Reminder,21,9.25,3,1
137,4,Structural,Reminder,21,8.166666667,3,1
138,4,Structural,Reminder,21,7.833333333,3,1
139,4,Structural,Reminder,27,7.25,3,1
140,4,Structural,Reminder,33,6.166666667,3,1
141,1,Structural,Decision,-6,79.5,4,0
142,1,Style,Reminder,-12,77.58333333,4,1
143,1,Style,Reminder,-1,74.33333333,4,1
144,1,Style,Reminder,-1,74.16666667,4,1
145,1,Personnel,Decision,5,71.58333333,4,1
146,1,Style,Decision,5,71.5,4,0
147,1,Style,Reminder,4,69.5,4,1
148,1,Personnel,Reminder,4,69.33333333,4,0
149,1,Structural,Reminder,-3,68.58333333,4,1
150,1,Personnel,Reminder,3,67.58333333,4,1
151,1,Style,Reminder,10,66.66666667,4,1
152,1,Style,Reminder,10,66.5,4,1
153,1,Style,Reminder,16,64.91666667,4,1
154,1,Personnel,Reminder,16,64.5,4,1
155,1,Structural,Decision,16,64.16666667,4,1
156,2,Style,Reminder,16,58.58333333,4,0
157,2,Style,Reminder,9,56.5,4,1
158,2,Style,Reminder,9,56.08333333,4,1
159,2,Personnel,Decision,15,55,4,1
160,2,Style,Reminder,15,54.83333333,4,1
161,2,Personnel,Decision,22,53.66666667,4,1
162,2,Structural,Decision,22,53.25,4,1
163,2,Style,Reminder,27,52,4,1
164,2,Structural,Decision,27,50.75,4,1
165,2,Style,Decision,27,49.91666667,4,1
166,2,Style,Reminder,33,49.41666667,4,0
167,2,Structural,Decision,27,48,4,1
168,2,Style,Reminder,27,47.25,4,1
169,2,Style,Reminder,40,44.58333333,4,0
170,3,Structural,Reminder,36,38.08333333,4,1
171,3,Personnel,Decision,36,37.58333333,4,1
172,3,Style,Reminder,36,35.66666667,4,1
173,3,Structural,Decision,37,33.66666667,4,1
174,3,Style,Reminder,38,32.16666667,4,1
175,3,Style,Reminder,38,29.16666667,4,1
176,3,Structural,Reminder,40,26.16666667,4,1
177,3,Structural,Reminder,40,26.08333333,4,0
178,3,Structural,Decision,39,22.58333333,4,1
179,3,Structural,Decision,39,22.58333333,4,1
180,4,Structural,Decision,51,18.66666667,4,1
181,4,Personnel,Reminder,57,17.66666667,4,0
182,4,Style,Reminder,56,16,4,1
183,4,Personnel,Decision,62,13.75,4,1
184,4,Style,Decision,62,13.58333333,4,0
185,4,Personnel,Decision,61,8.25,4,1
186,4,Style,Reminder,68,6.25,4,1
187,1,Style,Reminder,0,78.08333333,5,1
188,1,Structural,Reminder,1,76.66666667,5,1
189,1,Style,Reminder,1,76.33333333,5,0
190,1,Style,Reminder,-5,74.08333333,5,1
191,1,Style,Reminder,-5,71.83333333,5,1
192,1,Style,Reminder,-5,71.75,5,1
193,1,Personnel,Decision,-5,71.75,5,1
194,1,Style,Reminder,-5,71.75,5,1
195,1,Personnel,Reminder,1,70.66666667,5,0
196,1,Style,Decision,0,66.91666667,5,1
197,1,Style,Decision,1,63.91666667,5,1
198,2,Personnel,Reminder,2,59.91666667,5,1
199,2,Structural,Decision,2,59.33333333,5,1
200,2,Personnel,Decision,3,55.5,5,0
201,2,Style,Decision,-9,52.83333333,5,1
202,2,Structural,Reminder,-9,52.75,5,1
203,2,Structural,Decision,-8,51.5,5,1
204,2,Style,Reminder,-2,48.5,5,1
205,2,Structural,Decision,-2,47.75,5,1
206,2,Structural,Reminder,-1,46.16666667,5,1
207,2,Style,Reminder,0,45.25,5,1
208,2,Structural,Reminder,0,44.41666667,5,1
209,3,Structural,Reminder,6,37.08333333,5,1
210,3,Structural,Decision,6,36.83333333,5,1
211,3,Personnel,Reminder,6,34.25,5,1
212,3,Style,Decision,12,32.5,5,0
213,3,Personnel,Reminder,11,30,5,1
214,3,Personnel,Decision,11,29.16666667,5,1
215,3,Personnel,Decision,11,28.08333333,5,1
216,3,Personnel,Reminder,17,27.08333333,5,1
217,3,Style,Decision,17,24.25,5,0
218,3,Personnel,Decision,16,22.5,5,1
219,4,Style,Reminder,22,16.83333333,5,1
220,4,Style,Reminder,22,15.75,5,1
221,4,Structural,Reminder,27,11.08333333,5,1
222,4,Structural,Reminder,27,10.33333333,5,0
223,4,Style,Decision,21,9,5,1
224,4,Personnel,Decision,21,8.833333333,5,0
225,4,Structural,Reminder,20,7.916666667,5,1
226,4,Structural,Reminder,20,7.416666667,5,1
227,4,Personnel,Decision,25,5.666666667,5,1
228,4,Structural,Decision,25,4.916666667,5,1
229,4,Structural,Reminder,25,4.666666667,5,0
230,4,Structural,Decision,19,2.916666667,5,1
231,4,Structural,Decision,19,2.75,5,1
232,1,Style,Reminder,-5,77.75,8,1
233,1,Structural,Decision,-5,77.08333333,8,1
234,1,Personnel,Reminder,-5,76.33333333,8,1
235,1,Style,Reminder,-5,75.75,8,1
236,1,Structural,Decision,-4,73.75,8,0
237,1,Style,Reminder,-5,72.33333333,8,1
238,1,Personnel,Reminder,-5,71.58333333,8,0
239,1,Structural,Reminder,-11,68.58333333,8,1
240,1,Style,Decision,-11,68.58333333,8,0
241,1,Structural,Reminder,-17,66.25,8,0
242,2,Style,Reminder,-29,57.58333333,8,1
243,2,Style,Reminder,-29,55.58333333,8,1
244,2,Personnel,Reminder,-29,53.91666667,8,0
245,2,Style,Reminder,-35,53.41666667,8,1
246,2,Personnel,Decision,-35,53.33333333,8,0
247,2,Structural,Decision,-41,52.91666667,8,0
248,2,Personnel,Decision,-47,52.16666667,8,1
249,2,Structural,Reminder,-47,52,8,1
250,2,Personnel,Decision,-41,47.25,8,0
251,2,Style,Decision,-42,45,8,1
252,2,Style,Reminder,-36,44.08333333,8,1
253,2,Style,Reminder,-36,44.08333333,8,1
254,2,Structural,Reminder,-35,40.75,8,1
255,3,Style,Reminder,-34,39.25,8,1
256,3,Personnel,Reminder,-28,34.16666667,8,1
257,3,Personnel,Decision,-28,34.08333333,8,1
258,3,Style,Reminder,-28,32.25,8,1
259,3,Style,Reminder,-22,30.91666667,8,1
260,3,Style,Reminder,-22,29,8,1
261,3,Style,Reminder,-22,28.83333333,8,0
262,4,Personnel,Decision,-35,18.25,8,1
263,4,Personnel,Decision,-35,14.91666667,8,1
264,4,Personnel,Decision,-29,13.91666667,8,1
265,4,Personnel,Decision,-24,6.583333333,8,0
266,4,Personnel,Decision,-25,6.083333333,8,1
267,4,Style,Reminder,-25,4.416666667,8,1
268,4,Style,Decision,-25,4.333333333,8,0
